Date,Close,Retorno
01/09/2014,"2,510057225",-
02/09/2014,"2,510057225","0,00"
03/09/2014,"2,510057225","0,00"
04/09/2014,"2,510057225","0,00"
05/09/2014,"2,510057225","0,00"
08/09/2014,"2,510057225","0,00"
09/09/2014,"2,510057225","0,00"
10/09/2014,"2,510057225","0,00"
11/09/2014,"2,517587397","0,30"
12/09/2014,"2,518842426","0,05"
15/09/2014,"2,520097454","0,05"
16/09/2014,-,-
17/09/2014,-,-
18/09/2014,"2,52386254",-
19/09/2014,"2,525117569","0,05"
22/09/2014,-,-
23/09/2014,"2,527627626",-
24/09/2014,"2,528882655","0,05"
25/09/2014,"2,530137683","0,05"
26/09/2014,"2,531392712","0,05"
29/09/2014,-,-
30/09/2014,"2,53264774",-
01/10/2014,"2,532303505","-0,01"
02/10/2014,"2,533567129","0,05"
03/10/2014,-,-
06/10/2014,"2,534830754",-
07/10/2014,"2,536094378","0,05"
08/10/2014,"2,537358003","0,05"
09/10/2014,"2,538621627","0,05"
10/10/2014,"2,539885252","0,05"
13/10/2014,"2,541148876","0,05"
14/10/2014,"2,527249007","-0,55"
15/10/2014,"2,543676125","0,65"
16/10/2014,"2,54493975","0,05"
17/10/2014,"2,546203374","0,05"
20/10/2014,"2,547466999","0,05"
21/10/2014,"2,548730623","0,05"
22/10/2014,"2,549994248","0,05"
23/10/2014,"2,551257872","0,05"
24/10/2014,-,-
27/10/2014,"2,551257872",-
28/10/2014,"2,552521497","0,05"
29/10/2014,"2,551257872","-0,05"
30/10/2014,"2,551257872","0,00"
31/10/2014,"2,551257872","0,00"
03/11/2014,-,-
04/11/2014,"2,552361417",-
05/11/2014,"2,553634415","0,05"
06/11/2014,-,-
07/11/2014,"2,556180412",-
10/11/2014,-,-
11/11/2014,-,-
12/11/2014,-,-
13/11/2014,-,-
14/11/2014,"2,55745341",-
17/11/2014,"2,558726408","0,05"
18/11/2014,"2,559999406","0,05"
19/11/2014,"2,561272405","0,05"
20/11/2014,-,-
21/11/2014,"2,561272405","0,00"
24/11/2014,"2,561272405","0,00"
25/11/2014,-,-
26/11/2014,-,-
27/11/2014,"2,566364397",-
28/11/2014,"2,545996426","-0,79"
01/12/2014,"2,606800202","2,39"
02/12/2014,"2,6080939","0,05"
03/12/2014,"2,609387597","0,05"
04/12/2014,-,-
05/12/2014,"2,611974992",-
08/12/2014,"2,613268689","0,05"
09/12/2014,"2,614562387","0,05"
10/12/2014,"2,614562387","0,00"
11/12/2014,"2,626205663","0,45"
12/12/2014,"2,63267415","0,25"
15/12/2014,"2,635261545","0,10"
16/12/2014,"2,636555242","0,05"
17/12/2014,"2,595156926","-1,57"
18/12/2014,-,-
19/12/2014,"2,640436334",-
22/12/2014,-,-
23/12/2014,"2,641730031",-
24/12/2014,-,-
25/12/2014,-,-
26/12/2014,"2,643023729","0,05"
29/12/2014,"2,644317426","0,05"
30/12/2014,"2,645611124","0,05"
31/12/2014,-,-
01/01/2015,-,-
02/01/2015,"2,66390059","0,69"
05/01/2015,"2,670527209","0,25"
06/01/2015,"2,673177856","0,10"
07/01/2015,"2,675828503","0,10"
08/01/2015,"2,678479151","0,10"
09/01/2015,"2,681129798","0,10"
12/01/2015,"2,683780445","0,10"
13/01/2015,"2,686431093","0,10"
14/01/2015,"2,68908174","0,10"
15/01/2015,"2,691732387","0,10"
16/01/2015,"2,695708358","0,15"
19/01/2015,"2,698359006","0,10"
20/01/2015,"2,698359006","0,00"
21/01/2015,"2,703660301","0,20"
22/01/2015,"2,706310948","0,10"
23/01/2015,"2,708961595","0,10"
26/01/2015,"2,710286919","0,05"
27/01/2015,"2,712937566","0,10"
28/01/2015,"2,71426289","0,05"
29/01/2015,"2,715588214","0,05"
30/01/2015,-,-
02/02/2015,"2,7203889",-
03/02/2015,"2,721722424","0,05"
04/02/2015,"2,721722424","0,00"
05/02/2015,-,-
06/02/2015,"2,679849771",-
09/02/2015,-,-
10/02/2015,"2,73372414",-
11/02/2015,-,-
12/02/2015,"2,735057664",-
13/02/2015,"2,7203889","-0,54"
16/02/2015,-,-
17/02/2015,-,-
18/02/2015,-,-
19/02/2015,"2,739058236",-
20/02/2015,-,-
23/02/2015,"2,739058236",-
24/02/2015,"2,740391759","0,05"
25/02/2015,-,-
26/02/2015,"2,741725283",-
27/02/2015,"2,743058807","0,05"
02/03/2015,"2,747098658","0,15"
03/03/2015,-,-
04/03/2015,"2,749791892",-
05/03/2015,"2,693233979","-2,06"
06/03/2015,"2,752485126","2,20"
09/03/2015,-,-
10/03/2015,"2,75517836",-
11/03/2015,-,-
12/03/2015,-,-
13/03/2015,"2,757871594",-
16/03/2015,"2,759218211","0,05"
